gene,comparison,cones_n,other_cell_type,other_n,cones_mean,other_mean,mean_difference,p_value,p_adj_bh
Gls,Cones vs Rod,487,Rod,10788,1.5860533984767162,1.1510776888232208,0.4349757096534954,1.5318711676461737e-23,2.144619634704643e-23
Gls,Cones vs MG,487,MG,590,1.5860533984767162,0.42910640067358774,1.1569469978031286,2.795566846765411e-112,1.956896792735788e-111
Gls,Cones vs AC,487,AC,611,1.5860533984767162,0.9986085044612317,0.5874448940154845,3.095538692327191e-47,5.417192711572584e-47
Gls,Cones vs BC,487,BC,1404,1.5860533984767162,2.05910139204802,-0.47304799357130367,6.136088693345994e-48,2.147631042671098e-47
Gls,Cones vs HC,487,HC,272,1.5860533984767162,0.811194039463732,0.7748593590129842,1.240765855352723e-47,2.895120329156354e-47
Gls,Cones vs RPE,487,RPE,40,1.5860533984767162,0.9416674593752538,0.6443859391014625,1.7778285391677218e-7,1.7778285391677218e-7
Gls,Cones vs Vasculature cells,487,Vasculature cells,65,1.5860533984767162,0.6274450686222651,0.9586083298544511,3.0177663019991855e-21,3.520727352332383e-21
Gls2,Cones vs Rod,487,Rod,10788,0,0.001804881685881564,-0.001804881685881564,0.3807337977981299,0.3807337977981299
Gls2,Cones vs MG,487,MG,590,0,0.003133246031146103,-0.003133246031146103,0.0689637719527601,0.08620471494095013
Gls2,Cones vs AC,487,AC,611,0,0.09368828321894483,-0.09368828321894483,7.92177848196775e-15,3.960889240983875e-14
Gls2,Cones vs BC,487,BC,1404,0,0.032593228842458834,-0.032593228842458834,3.4211961760327213e-8,5.7019936267212025e-8
Gls2,Cones vs HC,487,HC,272,0,0.04589892152387287,-0.04589892152387287,4.0253207445592224e-12,1.0063301861398056e-11
Gls2,Cones vs RPE,487,RPE,40,0,0,0,NA,NA
Gls2,Cones vs Vasculature cells,487,Vasculature cells,65,0,0,0,NA,NA
