gene,age,sample,cell_type,n_cells,pct_detected,avg_lognorm_expr,median_lognorm_expr
Gls,P15,15dayS1,BC,655,97.70992366412213,1.8145810708329961,1.871687350727141
Gls,P15,15dayS1,Cones,243,93.00411522633745,1.4309317366487067,1.4958667734951663
Gls,P15,15dayS1,Rod,4468,59.51208594449419,1.0387064016733882,1.2289101455476552
Gls,P15,15dayS1,AC,234,83.76068376068376,0.9756670457387316,1.013962502917954
Gls,P15,15dayS1,HC,162,82.71604938271605,0.7471852025266122,0.7466016402113254
Gls,P15,15dayS1,RPE,16,56.25,0.5601408447806377,0.32831978317930266
Gls,P15,15dayS1,Vasculature cells,41,60.97560975609756,0.5193590590940771,0.5501817557020641
Gls,P15,15dayS1,MG,259,46.33204633204633,0.34945367161425805,0
Gls,P35,30dayS1,BC,749,99.06542056074767,2.272934249719369,2.365628931473353
Gls,P35,30dayS1,Cones,244,93.44262295081968,1.7405393157890372,1.8308644205606845
Gls,P35,30dayS1,Rod,6320,72.65822784810126,1.230519921574077,1.3599587502678845
Gls,P35,30dayS1,RPE,24,87.5,1.1960185357716646,1.2443882076261128
Gls,P35,30dayS1,AC,377,74.27055702917772,1.0128480305648524,1.1680826786433616
Gls,P35,30dayS1,HC,110,69.0909090909091,0.9054615993165811,0.8876387209647705
Gls,P35,30dayS1,Vasculature cells,24,66.66666666666666,0.8120920015662532,0.8091262835223678
Gls,P35,30dayS1,MG,331,53.47432024169184,0.49143285634236844,0.3284527417309711
Gls2,P15,15dayS1,AC,234,11.538461538461538,0.07410194530022841,0
Gls2,P15,15dayS1,HC,162,9.25925925925926,0.038917079468501654,0
Gls2,P15,15dayS1,BC,655,2.1374045801526718,0.013326631975497733,0
Gls2,P15,15dayS1,MG,259,1.1583011583011582,0.005797223685858809,0
Gls2,P15,15dayS1,Rod,4468,0.1566696508504924,0.0017771129370592945,0
Gls2,P15,15dayS1,Cones,243,0,0,0
Gls2,P15,15dayS1,RPE,16,0,0,0
Gls2,P15,15dayS1,Vasculature cells,41,0,0,0
Gls2,P35,30dayS1,AC,377,11.671087533156498,0.10584532054780316,0
Gls2,P35,30dayS1,HC,110,10,0.056181270732692364,0
Gls2,P35,30dayS1,BC,749,9.345794392523365,0.0494418549410692,0
Gls2,P35,30dayS1,Rod,6320,0.15822784810126583,0.0018245131367894676,0
Gls2,P35,30dayS1,MG,331,0.3021148036253776,0.0010487438783648845,0
Gls2,P35,30dayS1,Cones,244,0,0,0
Gls2,P35,30dayS1,RPE,24,0,0,0
Gls2,P35,30dayS1,Vasculature cells,24,0,0,0
