gene,cell_type,n_cells,pct_detected,avg_lognorm_expr,median_lognorm_expr
Gls,BC,1404,98.43304843304843,2.05910139204802,2.121285005451791
Gls,Cones,487,93.22381930184805,1.5860533984767162,1.6464411062833582
Gls,Rod,10788,67.21357063403782,1.1510776888232208,1.3107423313155453
Gls,AC,611,77.9050736497545,0.9986085044612317,1.0888419442441881
Gls,RPE,40,75,0.9416674593752538,0.8419388011336948
Gls,HC,272,77.20588235294117,0.811194039463732,0.809717829954358
Gls,Vasculature cells,65,63.07692307692307,0.6274450686222651,0.6331988564672529
Gls,MG,590,50.33898305084745,0.42910640067358774,0.2980224056775631
Gls2,AC,611,11.620294599018004,0.09368828321894483,0
Gls2,HC,272,9.558823529411764,0.04589892152387287,0
Gls2,BC,1404,5.982905982905983,0.032593228842458834,0
Gls2,MG,590,0.6779661016949152,0.003133246031146103,0
Gls2,Rod,10788,0.1575824990730441,0.001804881685881564,0
Gls2,Cones,487,0,0,0
Gls2,RPE,40,0,0,0
Gls2,Vasculature cells,65,0,0,0
