gene,age,condition,sample_original,cell_type,n_cells,pct_detected,avg_lognorm_expr,median_lognorm_expr
Gls,P15,Ctrl,15dayS1,Cones,243,93.00411522633745,1.4309317366487067,1.4958667734951663
Gls,P15,KO,15dayS2,Cones,176,39.77272727272727,0.3180564909336188,0
Gls,P15,Ctrl,15dayS1,Rod,4468,59.51208594449419,1.0387064016733882,1.2289101455476552
Gls,P15,KO,15dayS2,Rod,3385,56.543574593796166,0.9767958904080081,1.1662537255860856
Gls,P15,Ctrl,15dayS1,MG,259,46.33204633204633,0.34945367161425805,0
Gls,P15,KO,15dayS2,MG,234,35.47008547008547,0.3144965602473444,0
Gls,P15,Ctrl,15dayS1,AC,234,83.76068376068376,0.9756670457387316,1.013962502917954
Gls,P15,KO,15dayS2,AC,176,59.09090909090909,0.7130229611632242,0.746524992375553
Gls,P15,Ctrl,15dayS1,BC,655,97.70992366412213,1.8145810708329961,1.871687350727141
Gls,P15,KO,15dayS2,BC,598,95.9866220735786,1.7596979805972133,1.8160773798055183
Gls,P15,Ctrl,15dayS1,HC,162,82.71604938271605,0.7471852025266122,0.7466016402113254
Gls,P15,KO,15dayS2,HC,153,70.58823529411765,0.6564978042916939,0.636365467765088
Gls,P15,Ctrl,15dayS1,RPE,16,56.25,0.5601408447806377,0.32831978317930266
Gls,P15,KO,15dayS2,RPE,15,53.333333333333336,0.4384814037799714,0.3006539370493103
Gls,P15,Ctrl,15dayS1,Vasculature cells,41,60.97560975609756,0.5193590590940771,0.5501817557020641
Gls,P15,KO,15dayS2,Vasculature cells,35,45.714285714285715,0.42261827696495546,0
Gls,P35,Ctrl,30dayS1,Cones,244,93.44262295081968,1.7405393157890372,1.8308644205606845
Gls,P35,KO,30dayS2,Cones,211,21.32701421800948,0.20067041177411254,0
Gls,P35,Ctrl,30dayS1,Rod,6320,72.65822784810126,1.230519921574077,1.3599587502678845
Gls,P35,KO,30dayS2,Rod,6246,66.37848222862632,1.0820469727786237,1.2114088372424003
Gls,P35,Ctrl,30dayS1,MG,331,53.47432024169184,0.49143285634236844,0.3284527417309711
Gls,P35,KO,30dayS2,MG,341,43.6950146627566,0.363708901716034,0
Gls,P35,Ctrl,30dayS1,AC,377,74.27055702917772,1.0128480305648524,1.1680826786433616
Gls,P35,KO,30dayS2,AC,351,67.80626780626781,0.8755092158752086,0.9498695201283919
Gls,P35,Ctrl,30dayS1,BC,749,99.06542056074767,2.272934249719369,2.365628931473353
Gls,P35,KO,30dayS2,BC,789,98.09885931558935,2.2676018292284725,2.371940710472097
Gls,P35,Ctrl,30dayS1,HC,110,69.0909090909091,0.9054615993165811,0.8876387209647705
Gls,P35,KO,30dayS2,HC,63,73.01587301587301,0.7307157458675091,0.7249291465965214
Gls,P35,Ctrl,30dayS1,RPE,24,87.5,1.1960185357716646,1.2443882076261128
Gls,P35,KO,30dayS2,RPE,27,51.85185185185185,0.7392645450511415,0.3468909618297039
Gls,P35,Ctrl,30dayS1,Vasculature cells,24,66.66666666666666,0.8120920015662532,0.8091262835223678
Gls,P35,KO,30dayS2,Vasculature cells,38,65.78947368421053,0.632690029998209,0.6011106439078222
Gls2,P15,Ctrl,15dayS1,Cones,243,0,0,0
Gls2,P15,KO,15dayS2,Cones,176,0,0,0
Gls2,P15,Ctrl,15dayS1,Rod,4468,0.1566696508504924,0.0017771129370592945,0
Gls2,P15,KO,15dayS2,Rod,3385,0.1772525849335303,0.002782229617921925,0
Gls2,P15,Ctrl,15dayS1,MG,259,1.1583011583011582,0.005797223685858809,0
Gls2,P15,KO,15dayS2,MG,234,0.8547008547008548,0.006116950598222576,0
Gls2,P15,Ctrl,15dayS1,AC,234,11.538461538461538,0.07410194530022841,0
Gls2,P15,KO,15dayS2,AC,176,4.545454545454546,0.042691692593698184,0
Gls2,P15,Ctrl,15dayS1,BC,655,2.1374045801526718,0.013326631975497733,0
Gls2,P15,KO,15dayS2,BC,598,2.0066889632107023,0.012628616437435732,0
Gls2,P15,Ctrl,15dayS1,HC,162,9.25925925925926,0.038917079468501654,0
Gls2,P15,KO,15dayS2,HC,153,7.8431372549019605,0.03748519228096627,0
Gls2,P15,Ctrl,15dayS1,RPE,16,0,0,0
Gls2,P15,KO,15dayS2,RPE,15,0,0,0
Gls2,P15,Ctrl,15dayS1,Vasculature cells,41,0,0,0
Gls2,P15,KO,15dayS2,Vasculature cells,35,0,0,0
Gls2,P35,Ctrl,30dayS1,Cones,244,0,0,0
Gls2,P35,KO,30dayS2,Cones,211,0.9478672985781991,0.006525023926141812,0
Gls2,P35,Ctrl,30dayS1,Rod,6320,0.15822784810126583,0.0018245131367894676,0
Gls2,P35,KO,30dayS2,Rod,6246,0.24015369836695488,0.0024832773724018853,0
Gls2,P35,Ctrl,30dayS1,MG,331,0.3021148036253776,0.0010487438783648845,0
Gls2,P35,KO,30dayS2,MG,341,0.2932551319648094,0.002691211306101758,0
Gls2,P35,Ctrl,30dayS1,AC,377,11.671087533156498,0.10584532054780316,0
Gls2,P35,KO,30dayS2,AC,351,9.686609686609685,0.07094734918455219,0
Gls2,P35,Ctrl,30dayS1,BC,749,9.345794392523365,0.0494418549410692,0
Gls2,P35,KO,30dayS2,BC,789,9.125475285171103,0.04756016959975645,0
Gls2,P35,Ctrl,30dayS1,HC,110,10,0.056181270732692364,0
Gls2,P35,KO,30dayS2,HC,63,7.936507936507936,0.030964428899087956,0
Gls2,P35,Ctrl,30dayS1,RPE,24,0,0,0
Gls2,P35,KO,30dayS2,RPE,27,0,0,0
Gls2,P35,Ctrl,30dayS1,Vasculature cells,24,0,0,0
Gls2,P35,KO,30dayS2,Vasculature cells,38,0,0,0
