age,condition,sample_original,cell_type,n_cells,total_cells,pct_of_sample
P15,Ctrl,15dayS1,Cones,243,6078,3.998025666337611
P15,Ctrl,15dayS1,Rod,4468,6078,73.51102336294834
P15,Ctrl,15dayS1,MG,259,6078,4.2612701546561365
P15,Ctrl,15dayS1,AC,234,6078,3.8499506416584404
P15,Ctrl,15dayS1,BC,655,6078,10.776571240539651
P15,Ctrl,15dayS1,HC,162,6078,2.665350444225074
P15,Ctrl,15dayS1,RPE,16,6078,0.2632444883185258
P15,Ctrl,15dayS1,Vasculature cells,41,6078,0.6745640013162224
P15,KO,15dayS2,Cones,176,4772,3.6881810561609383
P15,KO,15dayS2,Rod,3385,4772,70.93461860854987
P15,KO,15dayS2,MG,234,4772,4.90360435875943
P15,KO,15dayS2,AC,176,4772,3.6881810561609383
P15,KO,15dayS2,BC,598,4772,12.5314333612741
P15,KO,15dayS2,HC,153,4772,3.206202849958089
P15,KO,15dayS2,RPE,15,4772,0.3143336127409891
P15,KO,15dayS2,Vasculature cells,35,4772,0.7334450963956413
P35,Ctrl,30dayS1,Cones,244,8179,2.9832497860374128
P35,Ctrl,30dayS1,Rod,6320,8179,77.27106003178874
P35,Ctrl,30dayS1,MG,331,8179,4.046949504829441
P35,Ctrl,30dayS1,AC,377,8179,4.60936544809879
P35,Ctrl,30dayS1,BC,749,8179,9.15759872845091
P35,Ctrl,30dayS1,HC,110,8179,1.3449076904267026
P35,Ctrl,30dayS1,RPE,24,8179,0.2934344051840078
P35,Ctrl,30dayS1,Vasculature cells,24,8179,0.2934344051840078
P35,KO,30dayS2,Cones,211,8066,2.615918670964543
P35,KO,30dayS2,Rod,6246,8066,77.43615174807836
P35,KO,30dayS2,MG,341,8066,4.227622117530375
P35,KO,30dayS2,AC,351,8066,4.3515993057277464
P35,KO,30dayS2,BC,789,8066,9.781800148772627
P35,KO,30dayS2,HC,63,8066,0.7810562856434417
P35,KO,30dayS2,RPE,27,8066,0.33473840813290356
P35,KO,30dayS2,Vasculature cells,38,8066,0.4711133151500124
