age,condition,sample,celltype,n_cells,total_cells,pct_of_sample
P15,Ctrl,15dayS1,Cones,242,6078,3.981572885817703
P15,Ctrl,15dayS1,Rod,4510,6078,74.20204014478446
P15,Ctrl,15dayS1,BC,652,6078,10.727212898979928
P15,Ctrl,15dayS1,AC,387,6078,6.367226061204343
P15,Ctrl,15dayS1,RGC,3,6078,0.04935834155972359
P15,Ctrl,15dayS1,HC,1,6078,0.016452780519907863
P15,Ctrl,15dayS1,MG,239,6078,3.9322145442579797
P15,Ctrl,15dayS1,Endothelial,29,6078,0.47713063507732806
P15,Ctrl,15dayS1,Microglia,15,6078,0.24679170779861795
P15,KO,15dayS2,Cones,169,4772,3.5414920368818104
P15,KO,15dayS2,Rod,3436,4772,72.00335289186923
P15,KO,15dayS2,BC,598,4772,12.5314333612741
P15,KO,15dayS2,AC,303,4772,6.34953897736798
P15,KO,15dayS2,RGC,6,4772,0.12573344509639564
P15,KO,15dayS2,HC,5,4772,0.10477787091366303
P15,KO,15dayS2,MG,215,4772,4.505448449287511
P15,KO,15dayS2,Endothelial,29,4772,0.6077116512992456
P15,KO,15dayS2,Microglia,11,4772,0.23051131601005864
P35,Ctrl,35dayS1,Cones,233,8179,2.8487590169947428
P35,Ctrl,35dayS1,Rod,6389,8179,78.11468394669275
P35,Ctrl,35dayS1,BC,749,8179,9.15759872845091
P35,Ctrl,35dayS1,AC,464,8179,5.673065166890818
P35,Ctrl,35dayS1,RGC,8,8179,0.09781146839466927
P35,Ctrl,35dayS1,MG,295,8179,3.606797897053429
P35,Ctrl,35dayS1,MG_AC,13,8179,0.15894363614133755
P35,Ctrl,35dayS1,Endothelial,24,8179,0.2934344051840078
P35,Ctrl,35dayS1,Microglia,4,8179,0.048905734197334634
P35,KO,35dayS2,Cones,205,8066,2.5415323580461195
P35,KO,35dayS2,Rod,6313,8066,78.26679890900074
P35,KO,35dayS2,BC,786,8066,9.744606992313415
P35,KO,35dayS2,AC,382,8066,4.735928589139599
P35,KO,35dayS2,RGC,15,8066,0.18596578229605754
P35,KO,35dayS2,HC,6,8066,0.07438631291842301
P35,KO,35dayS2,MG,317,8066,3.9300768658566825
P35,KO,35dayS2,Endothelial,31,8066,0.38432928341185224
P35,KO,35dayS2,Microglia,11,8066,0.13637490701710886
