cell,sample,age,condition,age_condition,celltype,umap_1,umap_2,gene,raw_count,detected,lognorm_expr
cell_1,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.805326,8.36671,Gls,2.0,True,2.3099985615372467
cell_2,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.193542,9.085417,Gls,0.0,False,0.0
cell_3,15dayS1,P15,Ctrl,P15_Ctrl,Rod,18.952995,11.302269,Gls,0.0,False,0.0
cell_4,15dayS1,P15,Ctrl,P15_Ctrl,AC,0.4777742,-0.053536765,Gls,2.0,True,0.5325728703406281
cell_5,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.032323,-6.1242037,Gls,0.0,False,0.0
cell_6,15dayS1,P15,Ctrl,P15_Ctrl,MG,1.6732446,11.425791,Gls,3.0,True,0.8443122170788357
cell_7,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.716905,12.707967,Gls,3.0,True,2.224222300209311
cell_8,15dayS1,P15,Ctrl,P15_Ctrl,Rod,12.944138,10.878129,Gls,0.0,False,0.0
cell_9,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.216108,12.931708,Gls,10.0,True,2.043168400658722
cell_10,15dayS1,P15,Ctrl,P15_Ctrl,AC,-0.98397905,-0.23777834,Gls,2.0,True,0.7010139670545821
cell_11,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.364012,11.572262,Gls,2.0,True,2.2894167295131758
cell_12,15dayS1,P15,Ctrl,P15_Ctrl,BC,14.385462,-6.089602,Gls,4.0,True,1.712513024678759
cell_13,15dayS1,P15,Ctrl,P15_Ctrl,Rod,4.7225976,-5.320592,Gls,0.0,False,0.0
cell_14,15dayS1,P15,Ctrl,P15_Ctrl,Rod,14.447734,10.550945,Gls,0.0,False,0.0
cell_15,15dayS1,P15,Ctrl,P15_Ctrl,Rod,16.63314,8.627181,Gls,3.0,True,2.2385678512367857
cell_16,15dayS1,P15,Ctrl,P15_Ctrl,Rod,17.872538,10.070654,Gls,0.0,False,0.0
cell_17,15dayS1,P15,Ctrl,P15_Ctrl,Rod,3.9649205,-6.3631043,Gls,0.0,False,0.0
