gene,age,condition,sample,age_condition,celltype,n_cells,pct_detected,avg_lognorm_expr,median_lognorm_expr,avg_raw_count
Gls,P15,Ctrl,15dayS1,P15_Ctrl,Cones,242,93.38842975206612,1.4368446777092385,1.4968568447053414,5.132231404958677
Gls,P15,KO,15dayS2,P15_KO,Cones,169,37.8698224852071,0.28405128309882843,0.0,0.727810650887574
Gls,P15,Ctrl,15dayS1,P15_Ctrl,Rod,4510,59.33481152993348,1.0336224946673682,1.221352588104781,1.2292682926829268
Gls,P15,KO,15dayS2,P15_KO,Rod,3436,56.54831199068685,0.9741277604970453,1.1528916647027811,1.117869615832363
Gls,P15,Ctrl,15dayS1,P15_Ctrl,BC,652,97.69938650306749,1.8156630652492258,1.8717579852065795,8.699386503067485
Gls,P15,KO,15dayS2,P15_KO,BC,598,96.15384615384616,1.7616721359528469,1.8160773798055183,7.20066889632107
Gls,P15,Ctrl,15dayS1,P15_Ctrl,AC,387,83.97932816537468,0.8880704312210334,0.950907712287246,2.705426356589147
Gls,P15,KO,15dayS2,P15_KO,AC,303,64.35643564356435,0.6646708030148655,0.6823982238978433,1.778877887788779
Gls,P15,Ctrl,15dayS1,P15_Ctrl,RGC,3,100.0,1.0038610122183202,1.0191547746292204,2.3333333333333335
Gls,P15,KO,15dayS2,P15_KO,RGC,6,33.33333333333333,0.4418572822447626,0.0,0.6666666666666666
Gls,P15,Ctrl,15dayS1,P15_Ctrl,HC,1,100.0,0.9945222309400225,0.9945222309400225,2.0
Gls,P15,KO,15dayS2,P15_KO,HC,5,100.0,1.0995959510257163,1.0711209308034144,2.4
Gls,P15,Ctrl,15dayS1,P15_Ctrl,MG,239,47.28033472803347,0.3440468989647626,0.0,0.7782426778242678
Gls,P15,KO,15dayS2,P15_KO,MG,215,34.883720930232556,0.2877328188723787,0.0,0.6232558139534884
Gls,P15,Ctrl,15dayS1,P15_Ctrl,Endothelial,29,58.620689655172406,0.5094726429494105,0.5141543071788193,1.1724137931034482
Gls,P15,KO,15dayS2,P15_KO,Endothelial,29,41.37931034482759,0.325357243894892,0.0,0.7931034482758621
