age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P15,BC,Wdfy1,12.565365,2.2659183,3.2736015730426074e-36,1.5872057226897082e-32,0.4297658862876254,652,0.07780458,12.576687116564436,598,0.3286934,42.97658862876252,up_in_KO
P15,BC,Gm26520,10.467494,6.0816298,1.2182479449111578e-25,3.9377834406011655e-22,0.16722408026755853,652,0.0017573022,0.4601226993865031,598,0.11254183,16.722408026755843,up_in_KO
P15,BC,Dynlt1b,8.528133,2.999422,1.4872853756023458e-17,2.0603151838879924e-14,0.15384615384615385,652,0.012730457,1.9938650306748469,598,0.097538255,15.384615384615378,up_in_KO
P15,BC,Cox7c,7.8910646,0.39049664,2.9961966502627675e-15,3.631764864699757e-12,0.9247491638795987,652,2.1750138,91.41104294478485,598,2.4183762,92.47491638795981,up_in_KO
P15,BC,Ide,6.854076,0.83449876,7.177492938166972e-12,6.327286274673194e-09,0.5635451505016722,652,0.30109274,40.64417177914096,598,0.48643836,56.354515050167194,up_in_KO
P15,BC,H3f3b,6.1624184,0.3011191,7.164217991562432e-10,5.343955528013915e-07,0.9615384615384616,652,2.9289193,95.70552147239219,598,3.127518,96.1538461538461,up_in_KO
P15,BC,Btaf1,5.7735186,0.62872607,7.763299805314436e-09,4.182262122896338e-06,0.6254180602006689,652,0.39985308,51.07361963190164,598,0.5653822,62.54180602006686,up_in_KO
P15,BC,Tmsb4x,5.392151,0.5495193,6.961923778542429e-08,2.9352076035011278e-05,0.7993311036789298,652,1.1541566,76.38036809815917,598,1.4298278,79.93311036789294,up_in_KO
P15,BC,Hnrnpa0,5.333337,0.3806729,9.642423073078055e-08,3.740103061585516e-05,0.8277591973244147,652,0.9524532,78.98773006134934,598,1.1225841,82.77591973244142,up_in_KO
P15,BC,Rnaset2b,5.158518,1.8490955,2.4891263893017554e-07,8.620378070378259e-05,0.10702341137123746,652,0.021011522,3.374233128834357,598,0.07371502,10.70234113712374,up_in_KO
P15,BC,Copb1,4.9393997,0.500745,7.836350649323099e-07,0.00021711169213281742,0.6387959866220736,652,0.40728235,53.22085889570531,598,0.5372722,63.87959866220733,up_in_KO
P15,BC,Gm47283,4.7481346,0.7306836,2.053015160365553e-06,0.0004816169806433358,0.4682274247491639,652,0.2814859,36.96319018404896,598,0.43144146,46.82274247491636,up_in_KO
P15,BC,Marcks,4.7449093,0.59898853,2.085997028670734e-06,0.0004816169806433358,0.6053511705685619,652,0.53615975,50.30674846625748,598,0.72973967,60.53511705685616,up_in_KO
P15,BC,Rpl29,4.736317,0.3112446,2.1763696117421423e-06,0.0004907966540712455,0.8444816053511706,652,1.3175728,84.81595092024502,598,1.4799472,84.44816053511701,up_in_KO
P15,BC,Dcaf7,4.6920776,0.31936702,2.7044421086957696e-06,0.0005827772250671751,0.8612040133779264,652,0.9712984,82.66871165644135,598,1.1145107,86.1204013377926,up_in_KO
P15,BC,Akr1a1,4.664913,0.34432593,3.0874706179311744e-06,0.0006110041343281346,0.7558528428093646,652,0.69120073,73.773006134969,598,0.8174074,75.58528428093642,up_in_KO
P15,BC,Fgfbp3,4.504454,0.79830915,6.654372437121649e-06,0.0010709515680566333,0.3060200668896321,652,0.13000649,20.55214723926378,598,0.21627517,30.602006688963197,up_in_KO
P15,BC,Rpl18,4.501835,0.24677545,6.736933654888588e-06,0.0010709515680566333,0.8729096989966555,652,1.5964404,88.19018404907935,598,1.7351174,87.2909698996655,not_significant
P15,BC,Rpl15,4.493668,0.23194252,7.0006771372577345e-06,0.0010949284870965846,0.8913043478260869,652,1.7595015,89.57055214723884,598,1.8943746,89.13043478260865,not_significant
P15,BC,Tspan3,4.4809003,0.330554,7.432888403957082e-06,0.0011261987320808097,0.8244147157190636,652,0.8930262,80.21472392638,598,1.0345902,82.4414715719063,up_in_KO
P15,BC,Rps7,4.4400563,0.17751068,8.9935289015332e-06,0.0013213674205782944,0.8678929765886287,652,1.9852586,88.95705521472351,598,2.0922701,86.78929765886284,not_significant
P15,BC,Epha4,4.4318094,0.5403108,9.344556524511243e-06,0.001348748274207388,0.5702341137123745,652,0.47806397,46.16564417177897,598,0.6373188,57.02341137123743,up_in_KO
P15,BC,Calr,4.310167,0.30700505,1.631312685833252e-05,0.0021669642622637046,0.8963210702341137,652,1.1187463,86.96319018404867,598,1.266878,89.63210702341132,up_in_KO
P15,BC,Chga,4.231768,0.37518466,2.3186142248449115e-05,0.0027419026997952565,0.7642140468227425,652,0.71119726,72.852760736196,598,0.85196644,76.42140468227421,up_in_KO
P15,BC,Psmb3,4.1894116,0.40045577,2.7967868233661627e-05,0.00315355392279372,0.6906354515050167,652,0.5668045,63.95705521472366,598,0.69644624,69.06354515050164,up_in_KO
P15,BC,Ubald2,4.1894107,0.5288726,2.79679939527957e-05,0.00315355392279372,0.46153846153846156,652,0.24938896,35.58282208588946,598,0.34263927,46.15384615384613,up_in_KO
P15,BC,Dynlt1a,4.185211,0.76281965,2.849013364494555e-05,0.0031755037466096206,0.2993311036789298,652,0.12936418,21.012269938650277,598,0.21053341,29.93311036789296,up_in_KO
P15,BC,Prmt1,4.137356,0.36481947,3.513310108804808e-05,0.003663286895169916,0.7575250836120402,652,0.7302687,70.85889570552116,598,0.8692496,75.75250836120398,up_in_KO
P15,BC,Sox4,4.126044,0.48047623,3.690571997537162e-05,0.00372786215209561,0.6421404682274248,652,0.60549796,56.28834355828198,598,0.77058905,64.21404682274245,up_in_KO
P15,BC,Rps3a1,4.058094,0.17338036,4.947485135763407e-05,0.0045565636931407,0.8662207357859532,652,1.7812083,88.95705521472351,598,1.8821294,86.62207357859528,not_significant
P15,BC,H3f3a,3.983054,0.11523349,6.803532907065095e-05,0.005749069435208775,0.9230769230769231,652,2.8359985,94.17177914110385,598,2.9113612,92.30769230769226,not_significant
P15,BC,Tmem176b,3.9161942,1.3244739,8.995778299748847e-05,0.007150074698238474,0.1254180602006689,652,0.045037072,6.288343558282207,598,0.10918621,12.541806020066884,up_in_KO
P15,BC,Manf,3.8630483,0.3630423,0.00011198080046530576,0.008352906323938999,0.7157190635451505,652,0.6437279,68.55828220858866,598,0.7710823,71.57190635451501,up_in_KO
P15,BC,Cfl1,3.846167,0.220189,0.00011997990823623418,0.008747708046366638,0.8444816053511706,652,1.3164353,86.04294478527568,598,1.4303718,84.44816053511701,not_significant
P15,BC,Rpl7a,3.843939,0.26578346,0.00012107512671880643,0.008761682864121389,0.8327759197324415,652,1.131355,82.36196319018367,598,1.2597752,83.2775919732441,up_in_KO
P15,BC,Jpt1,3.827318,0.53214276,0.00012954712447005263,0.009103032362218119,0.40468227424749165,652,0.21747269,30.981595092024456,598,0.301065,40.468227424749145,up_in_KO
P15,BC,Rpl10a,3.8225458,0.24039726,0.0001320809182385016,0.009190667030690972,0.8695652173913043,652,1.3575733,87.11656441717751,598,1.4839131,86.9565217391304,not_significant
P15,BC,Rplp0,3.777957,0.24149995,0.0001581201937264334,0.010430554548062753,0.8361204013377926,652,1.2762636,85.12269938650267,598,1.3996907,83.61204013377922,not_significant
P15,BC,Cox6a1,3.7743342,0.29336622,0.00016043564507359974,0.01051178682620741,0.7792642140468228,652,0.7571552,73.00613496932483,598,0.8702506,77.92642140468223,up_in_KO
P15,BC,Basp1,3.7676055,0.5452598,0.00016482093773365362,0.010655124221354928,0.5167224080267558,652,0.5154722,44.78527607361947,598,0.6852068,51.67224080267556,up_in_KO
