age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P15,MG,Adgrb3,7.9771876,2.0663304,1.4970497192507715e-15,5.1049395426451304e-12,0.6093023255813953,239,0.270803,30.125523012552343,215,0.8340391,60.930232558139394,up_in_KO
P15,MG,Tuba1a,6.8503194,0.77634394,7.368540904630422e-12,1.2563362242394869e-08,0.9674418604651163,239,1.5060458,92.05020920502056,215,1.9473283,96.74418604651139,up_in_KO
P15,MG,Gm26520,6.4752135,3.998125,9.467809429456043e-11,1.3836527209047902e-07,0.19534883720930232,239,0.0076494804,1.2552301255230123,215,0.11573779,19.534883720930214,up_in_KO
P15,MG,Wdfy1,6.264461,2.3845518,3.741171361507101e-10,4.2524647809130714e-07,0.2930232558139535,239,0.043135546,7.112970711297069,215,0.20715614,29.3023255813953,up_in_KO
P15,MG,Eno1,5.69159,0.31814373,1.258619347355327e-08,9.196911373889283e-06,0.986046511627907,239,3.461329,99.16317991631756,215,3.675619,98.60465116279045,up_in_KO
P15,MG,Ctsh,5.6281347,0.83447623,1.8216854615468665e-08,1.0962260159779085e-05,0.7953488372093023,239,0.7461076,70.71129707112958,215,1.090977,79.53488372093004,up_in_KO
P15,MG,Rnaset2b,5.44734,1.4876655,5.112864006975446e-08,2.6152299395679404e-05,0.4,239,0.12100777,17.573221757322184,215,0.30802402,39.99999999999992,up_in_KO
P15,MG,Pcdh7,5.195808,1.3741403,2.038327255749967e-07,9.066125141879201e-05,0.5069767441860465,239,0.3061702,29.28870292887033,215,0.6567617,50.69767441860454,up_in_KO
P15,MG,Dapl1,5.1293206,0.48494187,2.90789649380438e-07,0.0001239490880484117,0.9302325581395349,239,2.4912953,95.39748953974856,215,2.8035088,93.02325581395326,up_in_KO
P15,MG,Coq10b,5.0160947,1.0564743,5.273240167943801e-07,0.00021578098767226033,0.5441860465116279,239,0.25348684,33.89121338912139,215,0.47003865,54.418604651162674,up_in_KO
P15,MG,Eno1b,4.9893427,1.0243427,6.058501379708437e-07,0.0002383787273631435,0.5953488372093023,239,0.28382677,41.422594142259484,215,0.5113707,59.5348837209301,up_in_KO
P15,MG,Hmgn3,4.964584,0.43218875,6.884860295768441e-07,0.00026085970676189315,0.9209302325581395,239,1.5350363,92.05020920502056,215,1.7772187,92.09302325581372,up_in_KO
P15,MG,Rbpms,4.8243823,1.7430075,1.4043783554464478e-06,0.0004634448572973278,0.27906976744186046,239,0.07921044,10.4602510460251,215,0.2436728,27.906976744186,up_in_KO
P15,MG,Sox4,4.8060036,0.94124115,1.5397706187129233e-06,0.0004922454196697876,0.6558139534883721,239,0.43200654,48.53556485355657,215,0.7117527,65.58139534883706,up_in_KO
P15,MG,Dbi,4.738897,0.24455604,2.1488483235536615e-06,0.0006661429803016351,0.9441860465116279,239,3.325853,97.48953974895356,215,3.489747,94.41860465116255,not_significant
P15,MG,Ptn,4.596987,0.3487055,4.286453009854531e-06,0.0012528689797374815,0.9348837209302325,239,2.3249295,92.46861924686156,215,2.5454137,93.48837209302302,up_in_KO
P15,MG,Rbm3,4.573082,0.8132975,4.806024632794191e-06,0.001313158743267899,0.7069767441860465,239,0.44233763,57.74058577405859,215,0.68189174,70.69767441860448,up_in_KO
P15,MG,Col9a1,4.3561153,0.47302312,1.3239099599324246e-05,0.003303316802465537,0.9069767441860465,239,2.2906559,90.79497907949757,215,2.5898323,90.69767441860442,up_in_KO
P15,MG,Smap1,4.344339,0.5080216,1.3969564931082076e-05,0.0034025868867849913,0.8093023255813954,239,0.7967358,77.82426778242657,215,1.005226,80.93023255813934,up_in_KO
P15,MG,Btaf1,4.1659813,0.923939,3.100158572520463e-05,0.00647237187691517,0.5116279069767442,239,0.25100484,35.56485355648541,215,0.43264392,51.16279069767431,up_in_KO
P15,MG,Ide,4.12315,0.735664,3.737261258401764e-05,0.007496506406558832,0.641860465116279,239,0.42367163,53.97489539748959,215,0.6304594,64.18604651162777,up_in_KO
P15,MG,Fos,4.0182123,0.52643496,5.8641287902234255e-05,0.011273151056857576,0.8,239,1.4978538,78.24267782426757,215,1.791937,79.9999999999998,up_in_KO
P15,MG,Atp5o,4.0172324,0.57272124,5.888561512816312e-05,0.011273151056857576,0.8046511627906977,239,0.7152691,74.89539748953958,215,0.93760747,80.46511627906958,up_in_KO
P15,MG,Fosb,4.01476,0.6124803,5.950636921508398e-05,0.011273151056857576,0.7767441860465116,239,1.063985,71.54811715481158,215,1.3614037,77.67441860465098,up_in_KO
P15,MG,Cntn1,3.9367096,0.3701627,8.26064837768297e-05,0.014825689983104698,0.9255813953488372,239,1.7717711,91.21338912133857,215,1.9891099,92.5581395348835,up_in_KO
P15,MG,Dynlt1b,3.924701,2.7651958,8.683754822826718e-05,0.015316346868537471,0.10232558139534884,239,0.010193733,1.6736401673640167,215,0.06733666,10.232558139534884,up_in_KO
P15,MG,Txnip,3.9115372,1.0036664,9.17105155905536e-05,0.015636642908189387,0.5116279069767442,239,0.33795,35.56485355648541,215,0.5912181,51.16279069767431,up_in_KO
P15,MG,Dynll1,3.9031382,0.59107244,9.495344447864073e-05,0.01592415962322122,0.7906976744186046,239,0.69350886,70.29288702928858,215,0.91926885,79.06976744186028,up_in_KO
P15,MG,9030025P20Rik,3.8882203,1.7731327,0.00010098194090294897,0.01645586410295654,0.14883720930232558,239,0.024579704,4.184100418410041,215,0.0816291,14.883720930232553,up_in_KO
P15,MG,Cnih2,3.8873584,2.7514696,0.00010134109858125728,0.01645586410295654,0.11627906976744186,239,0.01378805,2.510460251046025,215,0.0893764,11.627906976744185,up_in_KO
P15,MG,Lipg,3.8830068,0.977657,0.00010317263561681007,0.016491500974374487,0.4418604651162791,239,0.20408316,28.870292887029326,215,0.36869177,44.186046511627815,up_in_KO
P15,MG,Rbp1,3.842941,0.64319956,0.00012156864931908293,0.017953346646868228,0.8093023255813954,239,1.0768673,78.24267782426757,215,1.3919771,80.93023255813934,up_in_KO
P15,MG,Hsp90ab1,3.8390684,0.34065735,0.0001235020132768333,0.017953346646868228,0.9674418604651163,239,1.9258399,94.97907949790756,215,2.130833,96.74418604651139,up_in_KO
P15,MG,Cspg5,3.7485893,0.30750757,0.00017783201778856278,0.023626253791909052,0.8930232558139535,239,1.5847884,89.95815899581557,215,1.7577906,89.30232558139512,up_in_KO
P15,MG,Brinp1,3.731086,1.1020457,0.00019065613209439633,0.024804710621899092,0.22790697674418606,239,0.10769226,9.623430962343091,215,0.21839449,22.790697674418574,up_in_KO
P15,MG,Anxa1,3.7146516,1.1863278,0.00020348384424366897,0.025699255884107822,0.413953488372093,239,0.3642374,27.196652719665305,215,0.6931425,41.39534883720922,up_in_KO
P15,MG,Rdh10,3.709684,0.45337865,0.0002075182289517821,0.0258891644167894,0.8744186046511628,239,1.2401677,85.35564853556457,215,1.4731894,87.44186046511606,up_in_KO
P15,MG,Btg2,3.6943839,0.67366946,0.00022042065832130736,0.026513154196802266,0.7953488372093023,239,0.96167254,61.924686192468585,215,1.2747569,79.53488372093004,up_in_KO
P15,MG,Igfbp7,3.6939757,1.0661033,0.00022077489828981287,0.026513154196802266,0.4325581395348837,239,0.28789362,29.28870292887033,215,0.5297539,43.25581395348828,up_in_KO
P15,MG,Actb,3.6915555,0.34928992,0.00022288673127321556,0.026513154196802266,0.9534883720930233,239,2.0814216,94.97907949790756,215,2.2963388,95.34883720930209,up_in_KO
P15,MG,Plppr1,3.6559968,1.5686681,0.0002561844320748387,0.029446817304782023,0.17674418604651163,239,0.0478798,6.694560669456065,215,0.13582484,17.674418604651148,up_in_KO
P15,MG,Cdkn1c,3.652488,0.77161676,0.0002597117824062637,0.02952057260017864,0.6186046511627907,239,0.45444146,48.95397489539758,215,0.6841723,61.86046511627893,up_in_KO
P15,MG,Ier2,3.6461399,0.72075206,0.00026620906314241995,0.029596695991309898,0.6883720930232559,239,0.74463844,56.90376569037659,215,1.0375191,68.83720930232542,up_in_KO
P15,MG,Leng9,3.5919523,1.1844485,0.00032820988717456833,0.034614300472122,0.26976744186046514,239,0.08297518,14.644351464435147,215,0.17950752,26.97674418604647,up_in_KO
P15,MG,Vcam1,3.578042,0.66647816,0.00034617785607031124,0.03613672926121718,0.6651162790697674,239,0.5516663,61.087866108786585,215,0.7739908,66.51162790697659,up_in_KO
P15,MG,Aktip,3.4765706,0.6984649,0.0005078705517171237,0.04827379601174572,0.5348837209302325,239,0.28512454,38.91213389121345,215,0.4287904,53.48837209302314,up_in_KO
P15,MG,Cops5,3.4756403,0.5866722,0.0005096353831152041,0.04827379601174572,0.6325581395348837,239,0.39204857,54.39330543933059,215,0.5428287,63.25581395348823,up_in_KO
P15,MG,Nkd1,3.430627,0.5037287,0.0006021877253081312,0.05508884012668198,0.8046511627906977,239,0.7737543,70.71129707112958,215,0.976791,80.46511627906958,not_significant
P15,MG,H3f3b,3.4295132,0.2101811,0.0006046649459237779,0.05508884012668198,0.9674418604651163,239,2.8065512,98.74476987447656,215,2.9440134,96.74418604651139,not_significant
P15,MG,Tmsb4x,3.3541415,0.31766728,0.0007961167628992419,0.06675634823327249,0.9209302325581395,239,1.6761467,93.72384937238456,215,1.8586602,92.09302325581372,not_significant
P15,MG,Spout1,3.3345168,1.4999561,0.0008544777956248825,0.06882919566332714,0.1813953488372093,239,0.043827068,7.9497907949790765,215,0.119305775,18.139534883720916,not_significant
P15,MG,Fbxl7,3.3299334,1.1535103,0.0008686672460789661,0.06942551505771737,0.2372093023255814,239,0.11702887,12.133891213389116,215,0.24387246,23.720930232558107,not_significant
P15,MG,Odc1,3.3215706,0.77690953,0.0008951231948215078,0.07016121681429294,0.413953488372093,239,0.21250772,29.28870292887033,215,0.34053883,41.39534883720922,not_significant
P15,MG,Gpr37,3.2876766,0.25965568,0.0010101780528982537,0.0759861873613907,0.9023255813953488,239,1.9684796,89.12133891213357,215,2.1251857,90.23255813953466,not_significant
P15,MG,Adamts19,3.2740214,0.77601033,0.0010602857189643284,0.07747659217860771,0.4232558139534884,239,0.39528358,26.7782426778243,215,0.6044117,42.32558139534875,not_significant
P15,MG,Junb,3.2583256,0.63379484,0.0011207172440540307,0.08017438745924989,0.6697674418604651,239,0.7431618,54.81171548117159,215,0.9972429,66.97674418604636,not_significant
P15,MG,Aldh1a1,3.2539084,0.7125714,0.0011382893287076388,0.08039873095286548,0.5906976744186047,239,0.5672058,47.28033472803356,215,0.8113262,59.069767441860336,not_significant
P15,MG,Cntf,3.247031,0.7194285,0.001166157206844035,0.08115502194567673,0.4604651162790698,239,0.26330158,32.63598326359837,215,0.4027722,46.04651162790688,not_significant
P15,MG,Dis3l,3.2388217,1.3223009,0.0012002455108219132,0.08234979981074474,0.19069767441860466,239,0.046673425,8.786610878661085,215,0.112864554,19.069767441860446,not_significant
P15,MG,Npdc1,3.2297852,0.6521387,0.0012388320261834296,0.08326876011690564,0.5720930232558139,239,0.33529896,45.60669456066954,215,0.4861345,57.20930232558127,not_significant
P15,MG,Man2b2,3.2068942,1.3883183,0.0013417635963898689,0.0870134484548863,0.14883720930232558,239,0.03485428,5.8577405857740565,215,0.088787034,14.883720930232553,not_significant
P15,MG,Igfbp2,3.1962707,1.0284202,0.0013921641023101111,0.08901149229145273,0.31627906976744186,239,0.1578459,19.665271966527207,215,0.29919666,31.62790697674413,not_significant
P15,MG,Fgfbp3,3.1867142,0.9031006,0.0014389889719054728,0.0914338955440558,0.3953488372093023,239,0.16923916,29.28870292887033,215,0.29628187,39.534883720930154,not_significant
P15,MG,Foxp2,3.180428,0.67243975,0.0014705762836986797,0.09286416902615736,0.641860465116279,239,0.6823421,50.20920502092059,215,0.93981606,64.18604651162777,not_significant
