age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P15,Microglia,Arsb,3.6652157,2.2047708,0.00024713018007072697,0.7130084885568551,1.0,15,1.0168345,73.33333333333333,11,2.2120087,100.00000000000003,not_significant
P15,Microglia,Serpine2,3.6614494,1.627006,0.0002507923498926726,0.7130084885568551,1.0,15,1.4531608,80.0,11,2.4087915,100.00000000000003,not_significant
P15,Microglia,Ints6l,3.3498368,1.5456868,0.0008085920675180556,0.7130084885568551,1.0,15,0.58487695,80.0,11,1.200048,100.00000000000003,not_significant
P15,Microglia,Cd33,3.3012936,2.0863676,0.0009624011588355114,0.7130084885568551,1.0,15,0.60558945,73.33333333333333,11,1.5117646,100.00000000000003,not_significant
P15,Microglia,Scamp2,3.3012936,1.7804365,0.0009624011588355114,0.7130084885568551,1.0,15,0.8266095,73.33333333333333,11,1.6894081,100.00000000000003,not_significant
P15,Microglia,Apobec3,3.206407,1.9314075,0.0013440374886560507,0.7130084885568551,1.0,15,0.33076358,40.0,11,0.9144134,100.00000000000003,not_significant
P15,Microglia,Lrp1,3.028369,1.6681893,0.002458777430101952,0.7130084885568551,0.9090909090909091,15,0.6063676,66.66666666666666,11,1.2946758,90.90909090909093,not_significant
P15,Microglia,Dnttip1,2.9651082,2.385631,0.003025765899461922,0.7130084885568551,0.8181818181818182,15,0.15673296,20.0,11,0.63483864,81.81818181818184,not_significant
P15,Microglia,Baz1b,2.911952,2.6126454,0.00359177776390793,0.7130084885568551,0.8181818181818182,15,0.20099449,26.666666666666668,11,0.8593333,81.81818181818184,not_significant
P15,Microglia,Fcrls,2.8804462,1.4012709,0.003971128544914219,0.7130084885568551,1.0,15,1.6873138,93.33333333333333,11,2.5364673,100.00000000000003,not_significant
P15,Microglia,Gm46224,2.8570597,2.561266,0.004275852730347187,0.7130084885568551,0.7272727272727273,15,0.13332154,20.0,11,0.61072356,72.72727272727273,not_significant
P15,Microglia,Simc1,2.8283691,28.486237,0.004678582900850259,0.7130084885568551,0.45454545454545453,15,0.0,0.0,11,0.31919587,45.45454545454546,not_significant
P15,Microglia,Klhl36,2.8283691,28.5788,0.004678582900850259,0.7130084885568551,0.45454545454545453,15,0.0,0.0,11,0.33714142,45.45454545454546,not_significant
P15,Microglia,Uevld,2.8283691,28.246626,0.004678582900850259,0.7130084885568551,0.45454545454545453,15,0.0,0.0,11,0.2764794,45.45454545454546,not_significant
P15,Microglia,Shfl,2.8283691,28.296185,0.004678582900850259,0.7130084885568551,0.45454545454545453,15,0.0,0.0,11,0.28488553,45.45454545454546,not_significant
P15,Microglia,Cpeb4,2.7993414,3.0036235,0.00512069620027041,0.7130084885568551,0.7272727272727273,15,0.1524616,20.0,11,0.841953,72.72727272727273,not_significant
P15,Microglia,Lag3,2.786188,1.6664683,0.005333193059047001,0.7130084885568551,1.0,15,0.74780613,66.66666666666666,11,1.5109514,100.00000000000003,not_significant
P15,Microglia,Phf20,2.778296,1.8663408,0.00546448215335308,0.7130084885568551,0.9090909090909091,15,0.3157474,40.0,11,0.8559994,90.90909090909093,not_significant
