age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P35,Cones,Egr1,12.811118,3.5784461,1.4207253317913985e-37,6.590034451514402e-34,0.7902439024390244,233,0.23729403,25.751072961373406,205,1.434914,79.0243902439025,up_in_KO
P35,Cones,Abhd14b,8.384008,2.1911063,5.1155266087676946e-17,9.49134806990758e-14,0.5756097560975609,233,0.14530297,23.175965665236067,205,0.53892463,57.560975609756134,up_in_KO
P35,Cones,Fos,7.6595974,2.1051257,1.8651683555040758e-14,2.47188097628733e-11,0.5463414634146342,233,0.16879831,22.746781115879845,205,0.5828424,54.63414634146345,up_in_KO
P35,Cones,Rps3a1,6.9275813,0.86942667,4.280967879405671e-12,3.9714539017246405e-09,0.8292682926829268,233,0.89477795,75.53648068669501,205,1.2928625,82.92682926829275,up_in_KO
P35,Cones,Uba52,6.674903,1.1994561,2.4739589792666348e-11,2.0864470409687792e-08,0.7219512195121951,233,0.3586011,52.789699570815316,205,0.6884126,72.19512195121956,up_in_KO
P35,Cones,Ptma,6.3870344,0.63660073,1.691338371165591e-10,1.1207532906645134e-07,0.9024390243902439,233,2.1686044,85.83690987124432,205,2.5682144,90.24390243902445,up_in_KO
P35,Cones,Ier2,6.3643975,1.8483232,1.960577448465231e-10,1.2125517992941299e-07,0.375609756097561,233,0.07340174,11.587982832618032,205,0.24235623,37.56097560975612,up_in_KO
P35,Cones,Dynlt1b,6.3530254,2.4612794,2.1112054108618308e-10,1.2241032872853253e-07,0.28292682926829266,233,0.03050007,6.008583690987127,205,0.15747637,28.292682926829283,up_in_KO
P35,Cones,Ldha,5.866548,0.5296225,4.449618585846058e-09,2.1725848221523096e-06,0.9170731707317074,233,2.2589521,90.12875536480652,205,2.5934353,91.7073170731708,up_in_KO
P35,Cones,Tma7,5.704665,0.63309187,1.1657198150814234e-08,5.4071913622551825e-06,0.9414634146341463,233,2.8325498,88.84120171673786,205,3.2502449,94.1463414634147,up_in_KO
P35,Cones,Gt(ROSA)26Sor,5.4725733,1.5294394,4.435469616429896e-08,1.931475354334263e-05,0.35121951219512193,233,0.076923355,12.875536480686703,205,0.20768176,35.12195121951221,up_in_KO
P35,Cones,Dynll1,5.466874,0.682624,4.5804093775308604e-08,1.931475354334263e-05,0.848780487804878,233,1.0685092,77.68240343347613,205,1.4029847,84.87804878048787,up_in_KO
P35,Cones,Eef1a1,5.3353353,0.528754,9.536828527269882e-08,3.846659054238378e-05,0.9121951219512195,233,2.1942432,86.26609442060054,205,2.525953,91.21951219512202,up_in_KO
P35,Cones,Rps6,5.319557,0.6038347,1.0402007312134963e-07,3.8599768733870425e-05,0.8731707317073171,233,1.3379184,78.54077253218857,205,1.6624429,87.31707317073177,up_in_KO
P35,Cones,Kcnb1,5.285993,0.39575136,1.2502457874932095e-07,4.227590422477704e-05,0.9804878048780488,233,1.9881812,98.28326180257471,205,2.2290893,98.04878048780495,up_in_KO
P35,Cones,Ppia,5.2808747,0.598203,1.2856845984382676e-07,4.227590422477704e-05,0.8634146341463415,233,1.3607614,79.399141630901,205,1.6843299,86.3414634146342,up_in_KO
P35,Cones,Snhg3,5.275832,1.0793048,1.3215492319915213e-07,4.227590422477704e-05,0.5853658536585366,233,0.2284275,39.05579399141625,205,0.4332408,58.536585365853696,up_in_KO
