age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P35,Endothelial,Ost4,3.4724557,1.347827,0.0005157201097860998,0.8741010747949604,0.9354838709677419,24,0.5917518,66.66666666666666,31,1.1165931,93.54838709677414,not_significant
P35,Endothelial,Nptn,3.4185998,1.3934906,0.0006294421502547159,0.8741010747949604,0.967741935483871,24,0.75816137,66.66666666666666,31,1.3813033,96.77419354838703,not_significant
P35,Endothelial,Mcu,3.4072013,4.226324,0.0006563268985877452,0.8741010747949604,0.45161290322580644,24,0.018303677,4.166666666666666,31,0.29695567,45.161290322580626,not_significant
P35,Endothelial,Mycbp,3.3883672,2.8116665,0.0007031005208664617,0.8741010747949604,0.5806451612903226,24,0.0734251,12.5,31,0.42847285,58.06451612903223,not_significant
P35,Endothelial,Map2,3.3824863,2.2658775,0.0007183284706878096,0.8741010747949604,0.7096774193548387,24,0.27244258,29.166666666666664,31,0.9187563,70.96774193548383,not_significant
P35,Endothelial,Usf3,3.3248951,2.4333618,0.000884517801202331,0.8741010747949604,0.6451612903225806,24,0.14201146,24.999999999999996,31,0.6011497,64.51612903225804,not_significant
P35,Endothelial,Trnt1,3.2909951,2.2113106,0.0009983361159932667,0.8741010747949604,0.6451612903225806,24,0.1585311,20.833333333333332,31,0.5853083,64.51612903225804,not_significant
P35,Endothelial,Dynlt1b,3.1706607,3.8392155,0.0015209264185501862,0.8741010747949604,0.41935483870967744,24,0.023029497,4.166666666666666,31,0.28775984,41.93548387096773,not_significant
P35,Endothelial,Bbs9,3.0507398,2.8249218,0.0022827841354680074,0.8741010747949604,0.5161290322580645,24,0.0703783,12.5,31,0.4165044,51.61290322580643,not_significant
P35,Endothelial,Med14,3.0097246,2.5151825,0.002614847550478047,0.8741010747949604,0.5483870967741935,24,0.09211029,16.666666666666664,31,0.43927374,54.83870967741933,not_significant
P35,Endothelial,Atp5g2,2.9548385,0.977361,0.0031283283171301035,0.8741010747949604,0.9354838709677419,24,0.93157953,83.3333333333333,31,1.3935485,93.54838709677414,not_significant
P35,Endothelial,Laptm4b,2.9446626,2.411267,0.0032330693761690632,0.8741010747949604,0.5806451612903226,24,0.11645398,20.833333333333332,31,0.50499564,58.06451612903223,not_significant
P35,Endothelial,Acox1,2.9322999,2.1326864,0.0033646175848311036,0.8741010747949604,0.5806451612903226,24,0.13523434,16.666666666666664,31,0.49165398,58.06451612903223,not_significant
P35,Endothelial,Bmyc,2.8988252,3.2385645,0.0037456355941550773,0.8741010747949604,0.41935483870967744,24,0.035419002,8.333333333333332,31,0.29288954,41.93548387096773,not_significant
P35,Endothelial,Zscan18,2.8450322,27.517878,0.004440692222301994,0.8741010747949604,0.2903225806451613,24,0.0,0.0,31,0.17578295,29.032258064516125,not_significant
P35,Endothelial,Zfp868,2.8450322,27.76445,0.004440692222301994,0.8741010747949604,0.2903225806451613,24,0.0,0.0,31,0.20538585,29.032258064516125,not_significant
P35,Endothelial,Foxo3,2.834746,2.702001,0.004586215490580727,0.8741010747949604,0.45161290322580644,24,0.074442446,8.333333333333332,31,0.40738705,45.161290322580626,not_significant
P35,Endothelial,Gng11,2.8274746,1.3577615,0.004691672154720746,0.8741010747949604,0.967741935483871,24,1.2630711,79.16666666666664,31,2.0149195,96.77419354838703,not_significant
P35,Endothelial,Wtap,2.8012528,1.7831719,0.00509046126272302,0.8741010747949604,0.6451612903225806,24,0.2717874,33.33333333333333,31,0.7299167,64.51612903225804,not_significant
P35,Endothelial,Rpgrip1l,2.7911217,2.5262277,0.005252569591910869,0.8741010747949604,0.3870967741935484,24,0.07584913,4.166666666666666,31,0.37427494,38.709677419354826,not_significant
P35,Endothelial,Ruvbl1,2.7906601,3.0245209,0.00526006697336086,0.8741010747949604,0.41935483870967744,24,0.05097813,8.333333333333332,31,0.35457253,41.93548387096773,not_significant
P35,Endothelial,Ppp1r12c,2.7476938,3.3523731,0.006001603389952766,0.8741010747949604,0.3548387096774194,24,0.026728135,4.166666666666666,31,0.24424927,35.48387096774193,not_significant
P35,Endothelial,Mtif2,2.7465537,2.7068484,0.006022502973863657,0.8741010747949604,0.45161290322580644,24,0.075653344,12.5,31,0.41416064,45.161290322580626,not_significant
P35,Endothelial,Arid1b,2.744041,1.813661,0.006068794286931126,0.8741010747949604,0.6129032258064516,24,0.19448715,24.999999999999996,31,0.5622974,61.29032258064513,not_significant
P35,Endothelial,Sgce,2.665505,2.2630732,0.007687280616356953,0.8741010747949604,0.4838709677419355,24,0.113064535,12.5,31,0.4539985,48.38709677419353,not_significant
P35,Endothelial,Igsf8,2.6599407,4.325794,0.007815438063981809,0.8741010747949604,0.3225806451612903,24,0.014917563,4.166666666666666,31,0.2634362,32.258064516129025,not_significant
P35,Endothelial,2410022M11Rik,2.6568117,26.976902,0.007888347382646852,0.8741010747949604,0.25806451612903225,24,0.0,0.0,31,0.12406191,25.806451612903224,not_significant
P35,Endothelial,Gli3,2.6568117,27.650621,0.007888347382646852,0.8741010747949604,0.25806451612903225,24,0.0,0.0,31,0.19119959,25.806451612903224,not_significant
P35,Endothelial,Mamld1,2.6537554,2.836548,0.007960147643705687,0.8741010747949604,0.3548387096774194,24,0.03305644,4.166666666666666,31,0.21516877,35.48387096774193,not_significant
P35,Endothelial,Peli1,2.646209,1.1941044,0.008139952203467905,0.8741010747949604,0.8064516129032258,24,0.49602076,58.33333333333333,31,0.9039392,80.64516129032253,not_significant
P35,Endothelial,Ilk,2.640616,1.4069287,0.0082755457895167,0.8741010747949604,0.7419354838709677,24,0.33111808,33.33333333333333,31,0.7133734,74.19354838709673,not_significant
P35,Endothelial,Ube2f,2.639229,2.14389,0.008309483335304511,0.8741010747949604,0.41935483870967744,24,0.07108552,8.333333333333332,31,0.28186485,41.93548387096773,not_significant
P35,Endothelial,Copz1,2.6327963,1.6563151,0.008468515242139015,0.8741010747949604,0.6129032258064516,24,0.1711446,24.999999999999996,31,0.46271402,61.29032258064513,not_significant
P35,Endothelial,Scaf8,2.6263964,1.462861,0.008629427702629167,0.8741010747949604,0.7419354838709677,24,0.34301618,37.5,31,0.7551613,74.19354838709673,not_significant
P35,Endothelial,Tmbim1,2.6163495,3.082648,0.008887554768156987,0.8741010747949604,0.3870967741935484,24,0.047031496,8.333333333333332,31,0.34213746,38.709677419354826,not_significant
P35,Endothelial,Zbtb14,2.5870657,3.5014713,0.009679712335828608,0.8741010747949604,0.3225806451612903,24,0.021623157,4.166666666666666,31,0.22118527,32.258064516129025,not_significant
P35,Endothelial,Egflam,2.5848646,1.8525019,0.009741722759264387,0.8741010747949604,0.5806451612903226,24,0.32206905,20.833333333333332,31,0.8638203,58.06451612903223,not_significant
P35,Endothelial,Actn4,2.5727472,0.77717006,0.010089485832623396,0.8741010747949604,0.9032258064516129,24,1.1948595,87.49999999999997,31,1.5987738,90.32258064516124,not_significant
P35,Endothelial,Szrd1,2.5681708,1.5746495,0.010223675496050365,0.8741010747949604,0.6129032258064516,24,0.20658018,33.33333333333333,31,0.5208723,61.29032258064513,not_significant
P35,Endothelial,Ppp2r3c,2.562774,3.6765344,0.010383960457298627,0.8741010747949604,0.3225806451612903,24,0.023029497,4.166666666666666,31,0.26073247,32.258064516129025,not_significant
P35,Endothelial,Nudt13,2.552697,2.1488068,0.010689247626666194,0.8741010747949604,0.41935483870967744,24,0.07041155,8.333333333333332,31,0.28028214,41.93548387096773,not_significant
P35,Endothelial,Zfp407,2.5471795,1.9605151,0.010859758743005862,0.8741010747949604,0.5483870967741935,24,0.15760191,29.166666666666664,31,0.50944436,54.83870967741933,not_significant
P35,Endothelial,Dlgap4,2.5471795,1.8023851,0.010859758743005862,0.8741010747949604,0.5806451612903226,24,0.16189337,24.999999999999996,31,0.478069,58.06451612903223,not_significant
P35,Endothelial,Abhd17b,2.5408194,1.8964742,0.011059306018648626,0.8741010747949604,0.5161290322580645,24,0.12276369,16.666666666666664,31,0.39628357,51.61290322580643,not_significant
P35,Endothelial,Cycs,2.5308964,1.1690402,0.01137714458474646,0.8741010747949604,0.7741935483870968,24,0.47824195,54.166666666666664,31,0.8666526,77.41935483870964,not_significant
P35,Endothelial,Rpa3,2.5276597,2.440455,0.011482560889201441,0.8741010747949604,0.3870967741935484,24,0.049348492,8.333333333333332,31,0.24262422,38.709677419354826,not_significant
P35,Endothelial,Pbx1,2.4860501,1.2699809,0.012916978442632572,0.8741010747949604,0.8709677419354839,24,0.7137483,54.166666666666664,31,1.2561791,87.09677419354833,not_significant
P35,Endothelial,Evi5,2.4677548,1.304831,0.013596336794790255,0.8741010747949604,0.7419354838709677,24,0.375107,37.5,31,0.7535188,74.19354838709673,not_significant
P35,Endothelial,Snx25,2.4661648,1.7679707,0.01365684890663908,0.8741010747949604,0.41935483870967744,24,0.09783812,8.333333333333332,31,0.3001468,41.93548387096773,not_significant
P35,Endothelial,Disp1,2.4617162,26.967115,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.12327281,22.58064516129032,not_significant
P35,Endothelial,Dapk2,2.4617162,27.029688,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.12840043,22.58064516129032,not_significant
P35,Endothelial,Kcnb1,2.4617162,28.15069,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.2608172,22.58064516129032,not_significant
P35,Endothelial,Pknox2,2.4617162,27.413036,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.16441959,22.58064516129032,not_significant
P35,Endothelial,Stc1,2.4617162,27.90658,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.22442594,22.58064516129032,not_significant
P35,Endothelial,Prrg2,2.4617162,27.300995,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.15302604,22.58064516129032,not_significant
P35,Endothelial,Sat2,2.4617162,27.606232,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.1859123,22.58064516129032,not_significant
P35,Endothelial,Fam217b,2.4617162,27.386353,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.16163729,22.58064516129032,not_significant
P35,Endothelial,A430035B10Rik,2.4617162,27.958925,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.2318262,22.58064516129032,not_significant
P35,Endothelial,Xylt1,2.4617162,27.67809,0.013827403262582994,0.8741010747949604,0.22580645161290322,24,0.0,0.0,31,0.19453914,22.58064516129032,not_significant
P35,Endothelial,Zwint,2.4523075,1.5079995,0.014194330430591713,0.8741010747949604,0.5806451612903226,24,0.17468053,20.833333333333332,31,0.4336323,58.06451612903223,not_significant
P35,Endothelial,Vbp1,2.4493866,1.4407793,0.014309973500141532,0.8741010747949604,0.6451612903225806,24,0.25871035,37.5,31,0.5886368,64.51612903225804,not_significant
P35,Endothelial,Ctdnep1,2.442338,1.7453433,0.014592479945506536,0.8741010747949604,0.5161290322580645,24,0.11531478,16.666666666666664,31,0.34344423,51.61290322580643,not_significant
P35,Endothelial,Pcid2,2.4413157,1.9983588,0.014633861559672895,0.8741010747949604,0.3225806451612903,24,0.07507625,4.166666666666666,31,0.27117977,32.258064516129025,not_significant
P35,Endothelial,Nadk2,2.4413157,2.175553,0.014633861559672895,0.8741010747949604,0.3225806451612903,24,0.056216102,4.166666666666666,31,0.23209165,32.258064516129025,not_significant
