age,celltype,gene,score,log2fc_ko_vs_ctrl,p_value,p_adj_bh,ko_pct_detected_rank_genes_groups,ctrl_n_cells,ctrl_avg_lognorm_expr,ctrl_pct_detected,ko_n_cells,ko_avg_lognorm_expr,ko_pct_detected,direction
P35,Rod,Abhd14b,32.3194,2.6658504,3.735038838197769e-229,1.1220056669946097e-225,0.26881039125613815,6389,0.070324376,6.07293786195028,6313,0.38004178,26.881039125613654,up_in_KO
P35,Rod,6430562O15Rik,27.266685,4.1091547,1.0539085591990328e-163,1.5829706559169473e-160,0.135276413749406,6389,0.011203298,1.0173736108937224,6313,0.17766786,13.527641374940389,up_in_KO
P35,Rod,Dynlt1b,25.104548,2.5332563,4.436074137394747e-139,4.441988902911273e-136,0.16774908918105497,6389,0.037954427,3.4434183753326035,6313,0.20206866,16.77490891810522,up_in_KO
P35,Rod,Rps3a1,17.264156,0.6306902,8.757483592432127e-67,5.261496142333222e-64,0.6632345952795818,6389,0.9740933,58.585068085777145,6313,1.2677326,66.32345952796412,up_in_KO
P35,Rod,Ldha,14.380336,0.21956636,6.87605136448846e-47,2.950808328417619e-44,0.954379851100903,6389,2.6893344,95.68007512913859,6313,2.8318899,95.43798511010073,not_significant
P35,Rod,Uba52,13.964383,0.66504276,2.5712131276050715e-44,9.654905294157043e-42,0.4300649453508633,6389,0.43161467,33.00986069807564,6313,0.6183286,43.00649453508866,up_in_KO
P35,Rod,Cox6a1,13.837507,0.5620554,1.5136508788386885e-43,5.349420282389906e-41,0.5409472517028354,6389,0.6449983,45.844420097044576,6313,0.8491105,54.09472517028758,up_in_KO
P35,Rod,Hspa8,13.011793,0.42946476,1.0485296747050922e-38,3.4997590475712194e-36,0.7251702835418977,6389,1.2198532,67.09970261387362,6313,1.4384701,72.51702835419665,up_in_KO
P35,Rod,Ide,12.198457,0.6087206,3.167688289910249e-34,1.001656381356883e-31,0.3929985743703469,6389,0.40137017,29.879480356863702,6313,0.5613886,39.29985743703645,up_in_KO
P35,Rod,Gm10076,10.978924,0.49244863,4.82641055352796e-28,1.1598829842238392e-25,0.45841913511801047,6389,0.5066545,38.09672875254503,6313,0.65654844,45.84191351180382,up_in_KO
P35,Rod,Dynlt1a,10.864262,1.006225,1.705976666263484e-27,3.942118388811928e-25,0.1192776809757643,6389,0.07254833,6.432931601189597,6313,0.14075297,11.927768097576251,up_in_KO
P35,Rod,Sag,10.775796,0.111725725,4.478934225656474e-27,9.966458084349665e-25,0.9961983209250752,6389,4.3286567,99.9060885897747,6313,4.4051228,99.6198320925186,not_significant
P35,Rod,Cst3,9.377929,0.14630648,6.728127036615352e-21,1.0925023577293253e-18,0.9266592745129099,6389,2.671323,93.5044607919963,6313,2.766042,92.66592745130099,not_significant
P35,Rod,mt-Nd4l,9.077559,0.3616096,1.1103651810025215e-19,1.6677685018657875e-17,0.6358308252811659,6389,1.32596,59.539834089846785,6313,1.51593,63.58308252812209,up_in_KO
P35,Rod,Btaf1,9.060464,0.41814563,1.298964816218721e-19,1.9034586867907504e-17,0.4543006494535086,6389,0.54396987,38.78541242761166,6313,0.67592764,45.43006494535357,up_in_KO
P35,Rod,Dynll1,8.939766,0.28900263,3.8999493993450248e-19,5.449045579363932e-17,0.6773324885157611,6389,1.039704,63.89106276413138,6313,1.173688,67.73324885158226,up_in_KO
P35,Rod,Gt(ROSA)26Sor,8.842022,0.82836336,9.400212160322916e-19,1.2550327702048904e-16,0.12608902265167116,6389,0.09390651,7.98246987008923,6313,0.161121,12.608902265166924,up_in_KO
