age,celltype,n_up_in_KO,n_down_in_KO,n_total_degs,n_tested_genes,ctrl_n,ko_n,status
P15,AC,83.0,271.0,354.0,10286.0,387.0,303.0,ok
P15,BC,73.0,252.0,325.0,9697.0,652.0,598.0,ok
P15,Cones,68.0,65.0,133.0,9277.0,242.0,169.0,ok
P15,Endothelial,0.0,0.0,0.0,10686.0,29.0,29.0,ok
P15,HC,,,,,1.0,5.0,skipped_min_cells_10
P15,MG,46.0,59.0,105.0,10230.0,239.0,215.0,ok
P15,MG_AC,,,,,0.0,0.0,skipped_min_cells_10
P15,Microglia,0.0,0.0,0.0,9379.0,15.0,11.0,ok
P15,RGC,,,,,3.0,6.0,skipped_min_cells_10
P15,Rod,366.0,279.0,645.0,5364.0,4510.0,3436.0,ok
P35,AC,3.0,2.0,5.0,9101.0,464.0,382.0,ok
P35,BC,535.0,131.0,666.0,9783.0,749.0,786.0,ok
P35,Cones,235.0,103.0,338.0,9277.0,233.0,205.0,ok
P35,Endothelial,0.0,0.0,0.0,9790.0,24.0,31.0,ok
P35,HC,,,,,0.0,6.0,skipped_min_cells_10
P35,MG,34.0,54.0,88.0,10101.0,295.0,317.0,ok
P35,MG_AC,,,,,13.0,0.0,skipped_min_cells_10
P35,Microglia,,,,,4.0,11.0,skipped_min_cells_10
P35,RGC,,,,,8.0,15.0,skipped_min_cells_10
P35,Rod,59.0,169.0,228.0,6008.0,6389.0,6313.0,ok
