age,celltype,ctrl_n,ko_n,tested_genes,status
P15,Cones,242,169,9277,ok
P15,Rod,4510,3436,5364,ok
P15,BC,652,598,9697,ok
P15,AC,387,303,10286,ok
P15,RGC,3,6,0,skipped_min_cells_10
P15,HC,1,5,0,skipped_min_cells_10
P15,MG,239,215,10230,ok
P15,MG_AC,0,0,0,skipped_min_cells_10
P15,Endothelial,29,29,10686,ok
P15,Microglia,15,11,9379,ok
P35,Cones,233,205,9277,ok
P35,Rod,6389,6313,6008,ok
P35,BC,749,786,9783,ok
P35,AC,464,382,9101,ok
P35,RGC,8,15,0,skipped_min_cells_10
P35,HC,0,6,0,skipped_min_cells_10
P35,MG,295,317,10101,ok
P35,MG_AC,13,0,0,skipped_min_cells_10
P35,Endothelial,24,31,9790,ok
P35,Microglia,4,11,0,skipped_min_cells_10
