age,condition,celltype,n_cells
P15,WT,AC,387
P15,WT,BC,652
P15,WT,Cones,242
P15,WT,Endothelial,29
P15,WT,HC,1
P15,WT,MG,239
P15,WT,Microglia,15
P15,WT,RGC,3
P15,WT,Rod,4510
P15,cKO,AC,303
P15,cKO,BC,598
P15,cKO,Cones,169
P15,cKO,Endothelial,29
P15,cKO,HC,5
P15,cKO,MG,215
P15,cKO,Microglia,11
P15,cKO,RGC,6
P15,cKO,Rod,3436
P35,WT,AC,464
P35,WT,BC,749
P35,WT,Cones,233
P35,WT,Endothelial,24
P35,WT,MG,295
P35,WT,MG_AC,13
P35,WT,Microglia,4
P35,WT,RGC,8
P35,WT,Rod,6389
P35,cKO,AC,382
P35,cKO,BC,786
P35,cKO,Cones,205
P35,cKO,Endothelial,31
P35,cKO,HC,6
P35,cKO,MG,317
P35,cKO,Microglia,11
P35,cKO,RGC,15
P35,cKO,Rod,6313
